Nama,Produk,Kontak,WhatsApp,Lokasi,Lantai,Lokasi Parkir,Link Toko,Link Gambar
Dynamic Bakery & Cafe ,"Roti, pastry, kue kering/cookies, kue basah, bolu, cake, puding, parsel/bingkisan",0214533455,https://api.whatsapp.com/send?phone=6287788955392,MKG-2,Lantai Dasar,Gedung Parkir 2 / 3,https://www.malkelapagading.com/directory/dynamic-bakery,http://images.malkelapagading.com/tenant/Dynamic-Cafelogo.jpg
EggO Waffle ,"Waffles with choices of flavor : Vanilla, Chocolate, Strawberry, Pandan,  Mocha, Blackforest",02145853692,,MKG-3,Basement,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/eggo-waffle,http://images.malkelapagading.com/tenant/Eggo-Wafflelogo.jpg
ELC (Early Learning Center) ,"Spesialis mainan anak-anak, kids toys",02145853673,https://api.whatsapp.com/send?phone=6287887031048,MKG-3,Lantai 2,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/elc,http://images.malkelapagading.com/tenant/ELC-Early-Learning-Center-logo-57.jpg
Erafone ,Gadget dan Aksesoris lainnya,0214529712,https://api.whatsapp.com/send?phone=6287730188777,MKG-1,Lantai Dasar,Gedung Parkir 2/5 Basement,https://www.malkelapagading.com/directory/erafone,http://images.malkelapagading.com/tenant/Erafonelogo.jpg
Erha Ultimate ,Cosmetic & Beauty Product,,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Lantai 2 /P2,https://www.malkelapagading.com/directory/erha-ultimate,http://images.malkelapagading.com/tenant/Erha-Ultimatelogo-921.jpg
Es OYEN ,"Es oyen, es campur",,,MKG-3,Lantai 3,Gedung Parkir 2/5 Lantai 3,https://www.malkelapagading.com/directory/es-oyen,http://images.malkelapagading.com/tenant/Es-OYENlogo-15.jpg
Et Cetera ,"Woman fashion apparel : top, dress, bottoms, blouse hingga aksesoris",02145853711,https://api.whatsapp.com/send?phone=6281112202760,MKG-2,Lantai 1,Gedung Parkir 2 Lt.2 P2/P2A,https://www.malkelapagading.com/directory/et-cetera,http://images.malkelapagading.com/tenant/Et-Ceteralogo-77.jpg
EVB ,"Sepatu sendal, tas, dan aksesoris untuk wanita",,,MKG-3,Lantai 2,Gedung Parkir 3 Lantai 2,https://www.malkelapagading.com/directory/evb,http://images.malkelapagading.com/tenant/EVBlogo.jpg
Everbest ,"Sepatu, tas, dompet untuk laki-laki dan wanita",0214533421,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/everbest,http://images.malkelapagading.com/tenant/Everbestlogo.jpg
Everlash ,"Eyelash Extention, Eyebrow,  Home Service / Private Treatment",08119515808,https://api.whatsapp.com/send?phone=628119515808,MKG-5,Basement,Gedung Parkir 5 Basement,https://www.malkelapagading.com/directory/everlash,http://images.malkelapagading.com/tenant/Everlashlogo-69.jpg
Excelso Coffee ,"Coffee Shop, Kopi Susu, Coffee Drinks, Coffee Beans, Pasta, Pastry",0214529601,,MKG-2,Lantai 2,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/excelso-kafe,http://images.malkelapagading.com/tenant/Kafe-Excelsologo.jpg
Family Mart ,Mini supermarket,,,Gading Walk,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/family-mart,http://images.malkelapagading.com/tenant/Family-Martlogo.jpg
Famous Amous ,"Freshly baked cookies, chocolate, pralines",0214533383,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/famous-amous,http://images.malkelapagading.com/tenant/Famous-Amouslogo.jpg
Farmers Market ,"Kebutuhan rumah tangga, sembako, alat masak, obat-obatan, camilan, kue basah, juga tenant store seperti Bakpau A1, Potato Corner, Old Chang Kee, Pastel Macik, Shitako Takoyaki, Christie Pudding, Pia Singapore Ny. Ratna, Kue Gading Mas, Gentong Ice Cream, dan lain-lain.",0214533403,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/farmers-market,http://images.malkelapagading.com/tenant/Farmers-Marketlogo-64.jpg
Favor ,"Party props, perlengkapan pesta",082299655623,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/favor,http://images.malkelapagading.com/tenant/Favorlogo1.jpg
Fiesta Steak ,"Chicken Steak, Beef Steak",0214533435,https://api.whatsapp.com/send?phone=6281219994557,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/fiesta-steak,http://images.malkelapagading.com/tenant/Fiesta-Steaklogo.jpg
Find Kapoor ,Worldwide Shipping,,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/find-kapoor,http://images.malkelapagading.com/tenant/Find-Kapoorlogo-28.jpg
First Love Patisserie ,"Mille Crepe, Carot Cake, Red Velvet Cake",02145878244,https://api.whatsapp.com/send?phone=6287788955392,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/first-love-pattisserie,http://images.malkelapagading.com/tenant/First-love-Pattiserilogo.jpg
Foek Lam ,"Chinese Comfort Food : Dim Sum, Roasted Chicken, Steamed Chicken, Babi Hong, Iga Babi Garing, Samcan Panggang, Lindung Cah Fumak, Szechuan Mala Chicken, Udang Tusuk Szechuan, Udang Tim Bawang Putih, Cumi Goreng Saus Jun Njan, Black Pepper Crab, Rojak Fried Crap, Scallop Brokoli, Tumis Lobak Saus XO, Claypot Seafood Tofu, Fried Rice",02124524026,https://api.whatsapp.com/send?phone=6281935680366,MKG-3,Lantai Dasar,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/foek-lam,http://images.malkelapagading.com/tenant/Foek-Lamlogo-25.jpg
FOGO ,Sizzling Brazilian BBQ Buffett at Idr 125K++,,,MKG-1,Lantai Dasar,"Gedung Parkir 2, Parkir L5 L6",https://www.malkelapagading.com/directory/fogo,http://images.malkelapagading.com/tenant/FOGOlogo-98.jpg
Fonel ,Gadget Retail Shop,0214533462,,MKG-1,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/fonel,http://images.malkelapagading.com/tenant/Fonellogo.jpg
Footlocker  ,"Sport wear, shoes",02122453598,https://api.whatsapp.com/send?phone=0811-8656-112,MKG-3,Lantai Dasar,,https://www.malkelapagading.com/directory/footlocker,http://images.malkelapagading.com/tenant/Footlocker-logo-151.jpg
Francis Artisan Bakery ,"Bread, pastry, sweet bun, toast & cookies. Best seller : Choco Bun, Choco Banana, Charcoal Beef, Kohi Moca, Cranberry Cheddar, Vienna, Dark Choco Cream Cheese, Maple Glazed Pastry, Sakura Mochi Bun, Kyoto Choco Mochi Bun, ",02145876436,https://api.whatsapp.com/send?phone=6285164038448,MKG-3,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/francis-artisan-bakery,http://images.malkelapagading.com/tenant/Francis-Bakerylogo.jpg
Frank & Co Jewellery ,Perhiasan,0214529611,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/frank-and-co-jewellery,http://images.malkelapagading.com/tenant/Frank-Co-Jewellerylogo.jpg
Fun World ,Kids Playing Area,,,MKG-1,Lantai 1,Gedung Parkir 2 Lt 2,https://www.malkelapagading.com/directory/fun-world,http://images.malkelapagading.com/tenant/Jolly-Fieldslogo.jpg
Gado-Gado Boplo ,"Gado-gado, Ketoprak, Karedok, Tahu Telor, Asinan, Lontong Sayur, Nasi Rames, Nasi Timbel, Nasi Gudeg, Nasi Goreng",02145853972,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/gado-gado-boplo,http://images.malkelapagading.com/tenant/Gado-Gado-Boplologo.jpg
Galeri Musik Jakarta ,Peralatan dan Perlengkapan Musik,0214533384,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement, Parkir L6/L5",https://www.malkelapagading.com/directory/galeri-musik-jakarta,http://images.malkelapagading.com/tenant/Galeri-Musik-Jakartalogo1.jpg
Garmin ,"GPS, GPS Smartwatch, GPS Running Smartwatch, dll",,,MKG-2,Lantai Dasar,"Parkir B, GF",https://www.malkelapagading.com/directory/garmin,http://images.malkelapagading.com/tenant/Garminlogo-64.jpg
GC - Guess Collection ,Jam tangan & aksesoris,02145853779,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/guess-collection,http://images.malkelapagading.com/tenant/Guess-Collectionlogo1.jpg
Genki Sushi ,"Sushi Roll, Sashimi, Temaki, Nigiri, Gunkan,  Rice Bowl, Udon, Tempura & Fries",02145853868,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/genki-sushi,http://images.malkelapagading.com/tenant/Genki-Sushilogo.jpg
Gingersnaps ,"Kids fashion, children and maternity wear",02145878241,https://api.whatsapp.com/send?phone=6285775194596,MKG-3,Lantai 2,Gedung Parkir 3 Basement / Gedung Parkir 5 Lantai 2,https://www.malkelapagading.com/directory/gingersnaps,http://images.malkelapagading.com/tenant/Gingersnapslogo.jpg
Gion & NOB Journal , The Sushi Bar,,https://api.whatsapp.com/send?phone=081388873661,MKG-1,Lantai Dasar,,https://www.malkelapagading.com/directory/gion-the-sushi-bar-and-nob-journal,http://images.malkelapagading.com/tenant/Gion-NOB-Journallogo-73.jpg
Giordano ,"Pakaian casual pria, wanita, dan anak-anak",0214529635,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/giordano,http://images.malkelapagading.com/tenant/Giordanologo.jpg
GNC Live Well ,"Vitamin, suplemen, susu protein",02145849065,,MKG-2,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/gnc-live-well,http://images.malkelapagading.com/tenant/GNC-Live-Welllogo.jpg
Gokana Ramen & Teppan Express ,"Beef/Chicken Teppan, Beef/Chicken Teriyaki, Tempura, Ramen, Curry Ramen, Miso Ramen, Yakimeshi, Chicken Katsu",02145878521,https://api.whatsapp.com/send?phone=62811214084,MKG-3,Lantai 3,Gedung  Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/gokana-ramen-and-teppan,http://images.malkelapagading.com/tenant/Gokana-Ramen-Teppanlogo1.jpg
Golden Lamian ,"Lamian BBQ, Lamian Pangsit, Lamian Sapi, Lamian Ayam, Hainan Rice, Golden Chicken Soup, Ect (Halal)",,https://api.whatsapp.com/send?phone=6282114221760,MKG-3,Lantai 3,Gedung Parkir 2 Lantai 3,https://www.malkelapagading.com/directory/golden-lamian,http://images.malkelapagading.com/tenant/Golden-Lamianlogo-96.jpg
GONG CHA ,Bubble Tea Shop,,,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/gong-cha,http://images.malkelapagading.com/tenant/GONG-CHAlogo-77.jpg
GOOMA Tea Bar ,Real matcha drinks,,,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement,https://www.malkelapagading.com/directory/gooma-tea-bar,http://images.malkelapagading.com/tenant/GOOMAlogo.jpg
Gramedia Book Store ,"Buku novel, buku pelajaran sekolah, buku pengetahuan, buku resep, majalah, komik, alat tulis / stationary, perlengkapan seni, alat musik, aksesoris handphone, IT supplies",0214526986,https://api.whatsapp.com/send?phone=6285774575257,MKG-1,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/gramedia-book-store,http://images.malkelapagading.com/tenant/Gramedia-Book-Storelogo-93.jpg
GraPARI Telkomsel ,Layanan Telkomsel,02145865013,,MKG-3,Lantai 2,"Parkir L5, L6, Gedung Parkir 1",https://www.malkelapagading.com/directory/grapari,http://images.malkelapagading.com/tenant/GraPARIlogo.jpg
GS Shop ,"Game station, games super store, gamers store",,,MKG-1,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/gs-shop-mall-kelapagading,http://images.malkelapagading.com/tenant/GSS-Shoplogo-94.jpg
G-SHOCK Casio ,"Watch, arloji, jam tangan",,https://api.whatsapp.com/send?phone=6281314678130,MKG-3,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/g-shock,http://images.malkelapagading.com/tenant/G-SHOCKlogo.jpg
Guardian ,"Healthcare, Skincare and Beauty",0214533420,https://api.whatsapp.com/send?phone=6281388724762,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/guardian,http://images.malkelapagading.com/tenant/Guardianlogo-20.jpg
Guess ,"Pakaian, tas, sepatu, dan aksesoris pria dan wanita",02145853591,https://api.whatsapp.com/send?phone=6289608741140,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/guess,http://images.malkelapagading.com/tenant/Guesslogo.jpg
Guess Accessories ,"Tas, jam tangan, & aksesoris",0214529554,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/guess-accessories,http://images.malkelapagading.com/tenant/Guess-Accessorieslogo1.jpg
Guess Jewellery ,Jam tangan & aksesoris,0214533407,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/guess-jewellery,http://images.malkelapagading.com/tenant/Guess-Jewellerylogo1.jpg
Gulu Gulu Authentic Taiwanese Cheese Tea ,Taiwanese Cheese Tea & Boba Drink,,https://api.whatsapp.com/send?phone=6281317801657,MKG-3,Lantai 3,Gedung Parkir 3 Lt. 3,https://www.malkelapagading.com/directory/gulu-gulu-authentic-taiwanese-cheese-tea,http://images.malkelapagading.com/tenant/Gulu-Gulu-Authentic-Taiwanese-Cheese.jpg
Gyu-Kaku Japanese Yakiniku ,Japanese Yakiniku,02145853650,,MKG-5,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/gyu-kaku-japanese-yakiniku,http://images.malkelapagading.com/tenant/Gyu-Kaku-Japanese-Yakinikulogo.jpg
H&M ,"Fast-fashion clothing for men, women, teenagers & children",,,MKG-3,Lantai 1,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/h-and-m,http://images.malkelapagading.com/tenant/H-Mlogo-13.jpg
Haagen Dazs ,"Ice cream, gelato, sorbet, frozen yoghurt",02145854995,https://api.whatsapp.com/send?phone=6281992300985,MKG-1,Lantai Dasar,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/haagen-dazs,http://images.malkelapagading.com/tenant/Haagen-Dazslogo-98.jpg
Hai Shien Fang ,Shi Chuan Cuisine & Hotpot,,,MKG-5,Lantai 3,,https://www.malkelapagading.com/directory/hai-shien-fang,http://images.malkelapagading.com/tenant/Hai-Shien-Fanglogo-42.jpg
Hakata Ikkousha ,"Ramen, Fried Rice, Gyoza",,,MKG-1,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/hakata-ikkousha,http://images.malkelapagading.com/tenant/Hakata-Ikkoushalogo.jpg
Happy Car`s ,Jasa peminjaman keranjang roda berbetuk mobil khusus untuk anak-anak.,02145853811,,MKG-5,Lantai Dasar,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/happy-cars,http://images.malkelapagading.com/tenant/Happy-Car-slogo.jpg
Happy Dental Clinic ,Dental Clinic,08119901166,,MKG-2,Lantai 2,,https://www.malkelapagading.com/directory/happy-dental-clinic,http://images.malkelapagading.com/tenant/Happy-Dental-Cliniclogo-90.jpg
Hasami Kushi Salon ,Salon,02145853748,,MKG-2,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/hasami-kushi-salon,http://images.malkelapagading.com/tenant/Hasami-Kushi-Salonlogo.jpg
Havaianas ,"Sandal, Flip flop",,,MKG-3,Lantai 1,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/havaianas,http://images.malkelapagading.com/tenant/Havainaslogo.jpg
Headquarters ,Hair & beauty bar,02145865016,https://api.whatsapp.com/send?phone=6287888390350,MKG-3,Basement,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/headquarters,http://images.malkelapagading.com/tenant/Headquarterslogo.jpg
Her Glam Nail Salon ,Nail salon,02145876401,,MKG-3,Basement,Gedung Parkir 3 Basement - P1/P1A,https://www.malkelapagading.com/directory/her-glam-nail-salon,http://images.malkelapagading.com/tenant/Her-Glam-Nail-Salonlogo1.jpg
Hillary Farm ,"Madu Hanuka, Madu kesehatan dari New Zealand",085921558612,https://api.whatsapp.com/send?phone=628158805084,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 1 P2,https://www.malkelapagading.com/directory/hillary-farm,http://images.malkelapagading.com/tenant/Hillary-Farmlogo.jpg
Hoka-Hoka Bento ,"Bento, Beef/Chicken Teriyaki, Beef/Chicken Yakiniku, Chicken Katsu, Egg Roll,  Ekado, Kani Roll, Eby Furai, Shrimp Roll, Tempura, Soup & Sukiyaki, Takoyaki, Siumay, Edamame, Es Ogura, Es Sarang Burung, Pudding",0214529777,,MKG-1,Lantai 2,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/hoka-hoka-bento,http://images.malkelapagading.com/tenant/Hoka-Hoka-Bentologo1.jpg
Hokkaido Baked Cheese Tart ,"Original Cheese Tart, Dark Chocolate Tart, Matcha Red Bean Tart, Blueberry Cheese Tart",02145853658,https://api.whatsapp.com/send?phone=6281218957174,MKG-3,Lantai Dasar,Gedung Parkir 3 & 5,https://www.malkelapagading.com/directory/hokkaido-baked-cheese-tart,http://images.malkelapagading.com/tenant/Hokkaido-Baked-Cheese-Tartlogo.jpg
Home Made Bakery ,"Roti, Bolu, Pastry, Pizza, Cake, Crepes, Kue Kering",0214529708,https://api.whatsapp.com/send?phone=6287732716301,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/home-made,http://images.malkelapagading.com/tenant/Home-Madelogo.jpg
Hong Kong Sheng Kee Dessert ,"Porridge, noodle, rice, dimsum, dessert",02145853776,https://api.whatsapp.com/send?phone=6281293715300,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/hong-kong-sheng-kee-dessert,http://images.malkelapagading.com/tenant/Hong-Kong-Sheng-Kee-Dessertlogo.jpg
Hong Tang ,Dessert bowl,083897962605,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/hong-tang,http://images.malkelapagading.com/tenant/Hong-Tanglogo1.jpg
HongKong Cai ,"Street Food, Gold Noodle, Milk Tea",,,,,,https://www.malkelapagading.com/directory/hongkong-cai,http://images.malkelapagading.com/tenant/HongKong-Cailogo-96.jpg
HOOPS Indonesia ,"Indonesia First & Biggest OFFICIAL Basketball Store : NIKE, JORDAN, ADIDAS, PUMA",0811220187,https://api.whatsapp.com/send?phone=6281292610462,MKG-2,Lantai 1,Gedung Parkir 2 Lantai 1,https://www.malkelapagading.com/directory/hoops,http://images.malkelapagading.com/tenant/HOOPS-Indonesialogo-3.jpg
Hop Hop Bubble Drink ,Bubble drink,,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/hop-hop-bubble-drink-8738,http://images.malkelapagading.com/tenant/Hop-Hop-Bubble-Drinklogo-100.jpg
Hop Hop Bubble Drink ,Bubble drink,02145844120,,MKG-2,Lantai 2,Gedung Parkir2,https://www.malkelapagading.com/directory/hop-hop-bubble-drink,http://images.malkelapagading.com/tenant/Hop-Hop-Bubble-Drinklogo-17.jpg
Hop Hop Signature ,Delightcious Awaits You,,,,,,https://www.malkelapagading.com/directory/hophop-signature,http://images.malkelapagading.com/tenant/Hop-Hop-Signaturelogo-97.jpg
Hot Star Chicken ,"Taiwanese Large Crispy, Fried Chicken",,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/hot-star-chicken,http://images.malkelapagading.com/tenant/Hot-Star-Chickenlogo.jpg
Hoy Tod ,Seafood Omelette Since 1988,083841321407,https://api.whatsapp.com/send?phone= 083841321407,MKG-3,Lantai 3,,https://www.malkelapagading.com/directory/hoy-tod,http://images.malkelapagading.com/tenant/Hoy-Todlogo-87.jpg
HUAWEI ,"Huawei smartphone, gadget & accessories",,,MKG-3,Lantai Dasar,Gedung Parkir 2/3 Basement,https://www.malkelapagading.com/directory/huawei,http://images.malkelapagading.com/tenant/HUAWEIlogo-10.jpg
Hungry Duke`s ,"Kimchi, Sushi & Drinks",628111053800,https://api.whatsapp.com/send?phone=628111053800 ,MKG-5,Lantai 3,,https://www.malkelapagading.com/directory/hungry-dukes,http://images.malkelapagading.com/tenant/Hungry-Duke-slogo-84.jpg
Hush Puppies ,"Pakaian, tas, sepatu untuk pria & wanita",02145853881,https://api.whatsapp.com/send?phone=6285211182178,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/hush-puppies,http://images.malkelapagading.com/tenant/Hush-Puppieslogo.jpg
Hydro Flask ,Travel Thumbler,,,,,,https://www.malkelapagading.com/directory/hydro-flask,http://images.malkelapagading.com/tenant/Hydro-Flasklogo-26.jpg
iBox ,"iPhone, iPad, iMac, MacBook, Cases, Earphone, Headphone, Cable, Apple Accessories",081290777722,https://api.whatsapp.com/send?phone=081315679653,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/ibox,http://images.malkelapagading.com/tenant/iBoxlogo.jpg
Ikkudo Ichi ,"Ramen, Rice Bowl, Gyoza, Curry",02145878157,,MKG-3,Lantai 3,Gedung Parkir 2 Lt. 3 P3/P3A,https://www.malkelapagading.com/directory/ikkudo-ichi,http://images.malkelapagading.com/tenant/Ikkudo-Ichilogo1.jpg
IMAX Theatre ,3D Film,02145853821,,MKG-2,Lantai 3,Gedung Parkir 3 Lantai 3,https://www.malkelapagading.com/directory/imax,http://images.malkelapagading.com/tenant/IMAX-Theatrelogo.jpg
Imperial Kitchen ,Chinese Food & Dimsum,628118651500,https://api.whatsapp.com/send?phone=628118651500 ,MKG-1,Lantai 1,,https://www.malkelapagading.com/directory/imperial-kitchen,http://images.malkelapagading.com/tenant/Imperial-Kitchenlogo-6.jpg
Innisfree ,"Kosmetik, produk perawatan kulit dan badan",,,MKG-3,Lantai 1,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/innisfree,http://images.malkelapagading.com/tenant/Innisfreelogo2.jpg
INTime ,"Jam tangan mewah, watches, rolex",02145848977,https://api.whatsapp.com/send?phone=6281288135513,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement P1/P1A,https://www.malkelapagading.com/directory/intime,http://images.malkelapagading.com/tenant/INTimelogo-53.png
Ippeke Komachi ,"Roll Sushi, Gunkan Sushi, Nigiri Sushi, Sashimi, Salad & Soup, Curry Rice, Kamameshi, Rice Bowl, Ramen, Udon, Teppan Set, Tempura, Fry Set, Grill Set, Okonomiyaki, Takoyaki, Ogura Ice Cream",02145853720,https://api.whatsapp.com/send?phone=6281517111676,MKG-3,Lantai Dasar,Gedung Parkir 3 Basement,https://www.malkelapagading.com/directory/ippeke-komachi,http://images.malkelapagading.com/tenant/Ippeke-Komachilogo.jpg
Irwan Team Salon ,"Jasa salon, gunting rambut, cat rambut, creambath",02145853577,https://api.whatsapp.com/send?phone=6287788666907,MKG-3,Lantai 1,Gedung Parkir 3,https://www.malkelapagading.com/directory/irwan-team,http://images.malkelapagading.com/tenant/Irwan-Team-Salonlogo1.jpg
Ixobox ,"Trim & cut, hair, salon",,,MKG-1,Lantai 1,"Parkir Basement, L5/L6",https://www.malkelapagading.com/directory/ixobox,http://images.malkelapagading.com/tenant/Ixoboxlogo2.jpg
Jack & John Kitchen ,"Babi Kecap, Babi Kriuk, Babi Pedas",087775549555,https://api.whatsapp.com/send?phone=628118990116,MKG-3,Lantai Dasar,Gedung Parkir 3/5 Basement,https://www.malkelapagading.com/directory/jack-and-john-kitchen,http://images.malkelapagading.com/tenant/Jack-John-Kitchenlogo-61.jpg
Jack Nicklaus ,Pakaian & tas,02145853585,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/jack-nicklaus,http://images.malkelapagading.com/tenant/Jack-Nicklauslogo.jpg
Janji Jiwa Toast ,Roti Panggang,,,MKG-3,Lantai 3,Gedung Parkir 3/5,https://www.malkelapagading.com/directory/janji-jiwa-toast,http://images.malkelapagading.com/tenant/Pizza-Pezzologo1.jpg
Janji Jiwa X ,"Coffee, Es Kopi Susu, Toast, Sandwich",,,Gading Walk,Lantai Dasar,Gedung Parkir 2/5 Basement,https://www.malkelapagading.com/directory/janji-jiwa-x,http://images.malkelapagading.com/tenant/Janji-Jiwa-Xlogo-59.jpg
Java Kitchen ,"Indonesian food: Rawon, Sop Buntut, Tahu Telor, Soto Lamongan, Gado-gado, Sate",02145853803,,MKG-3,Lantai 3,Gedung Parkir 3,https://www.malkelapagading.com/directory/java-kitchen,http://images.malkelapagading.com/tenant/Java-Kitchenlogo.jpg
JBL & de`sound ,"Audio equipments : wireless, speakers, headphones, soundbars, car subwoofers, others",089601666968,https://api.whatsapp.com/send?phone=6289601666968,MKG-3,Lantai Dasar,Gedung Parkir 2/3 Basement,https://www.malkelapagading.com/directory/jbl-and-desound,http://images.malkelapagading.com/tenant/JBL-de-soundlogo-82.jpg
JCO Donuts & Coffee ,"Donuts/Donat, Cronuts, Croisant, Coffee & Tea",02145846713,,MKG-2,Lantai Dasar,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/jco-donuts,http://images.malkelapagading.com/tenant/JCO-Donutslogo.jpg
JD sports ,"Sneakers, Apperal",02145854147,https://api.whatsapp.com/send?phone=0813 1913 6940,MKG-3,Lantai 1,Gedung Parkir 2 Basement P1/P1A,https://www.malkelapagading.com/directory/jd-sport-summarecon-mall-kelapa-gading,http://images.malkelapagading.com/tenant/JD-sportslogo-15.jpg
JM Top Optical ,"Jasa pembuatan Kacamata, Lensa, Contact Lens",0214533457,,MKG-1,Lantai Dasar,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",https://www.malkelapagading.com/directory/jm-top-optical,http://images.malkelapagading.com/tenant/JM-Top-Opticallogo.jpg
Johnny Andrean Salon ,"Tata Rias, Perawatan Tubuh, Perawatan Rambut dan Wajah",0214529647,https://api.whatsapp.com/send?phone=628159798000,MKG-3,Lantai 1,Gedung Parkir 2/3,https://www.malkelapagading.com/directory/johnny-andrean-salon,http://images.malkelapagading.com/tenant/Jhonny-Andrean-Salonlogo.jpg
JOOMBA ,Fresh smoothies,,https://api.whatsapp.com/send?phone=6285741403279,Gading Walk,Lantai Dasar,Gedung Parkir 2/5 Basement,https://www.malkelapagading.com/directory/joomba,http://images.malkelapagading.com/tenant/JOOMBAlogo-67.jpg
JPP Skin Laser & Clinic ,Klinik kecantikan kulit,02145878289,,MKG-2,Lantai 1,Gedung Parkir 2 Lt. 2 P2/P2A,https://www.malkelapagading.com/directory/jpp-skin-laser-and-clinic,http://images.malkelapagading.com/tenant/JPP-Skin-Laser-Cliniclogo.jpg
Just Yoga ,Premium yoga studio,02145878422,,Gading Walk,Lantai Dasar,Gedung Parkir 2 Basement P1,https://www.malkelapagading.com/directory/just-yoga,http://images.malkelapagading.com/tenant/Just-Yogalogo.jpg
Justice ,Girls apparel & accessories,02145842507,https://api.whatsapp.com/send?phone=6285893134276,MKG-3,Lantai 2,Gedung Parkir 3,https://www.malkelapagading.com/directory/justice,http://images.malkelapagading.com/tenant/Justicelogo.jpg
